Phi (deg),S21 (dB)
1,-85.87
3,-85.87
5,-85.91
7,-85.89
9,-85.85
11,-85.84
13,-85.89
15,-85.93
17,-85.9
19,-85.85
21,-85.83
23,-85.81
25,-85.84
27,-85.88
29,-85.91
31,-85.93
33,-85.93
35,-85.92
37,-86.04
39,-86.11
41,-86.19
43,-86.19
45,-86.19
47,-86.15
49,-86.13
51,-86.12
53,-86.13
55,-86.14
57,-86.21
59,-86.18
61,-86.24
63,-86.28
65,-86.31
67,-86.32
69,-86.36
71,-86.31
73,-86.29
75,-86.21
77,-86.2
79,-85.94
81,-85.78
83,-85.73
85,-85.72
87,-85.6
89,-85.59
91,-85.55
93,-85.55
95,-85.53
97,-85.51
99,-85.53
101,-85.52
103,-85.59
105,-85.67
107,-85.68
109,-85.71
111,-85.75
113,-85.7
115,-85.63
117,-85.58
119,-85.55
121,-85.57
123,-85.66
125,-85.69
127,-85.77
129,-85.74
131,-85.64
133,-85.57
135,-85.55
137,-85.59
139,-85.64
141,-85.69
143,-85.73
145,-85.76
147,-85.72
149,-85.72
151,-85.7
153,-85.7
155,-85.74
157,-85.68
159,-85.7
161,-85.7
163,-85.69
165,-85.7
167,-85.72
169,-85.72
171,-85.73
173,-85.71
175,-85.64
177,-85.65
179,-85.64
181,-85.69
183,-85.67
185,-85.65
187,-85.64
189,-85.72
191,-85.74
193,-85.75
195,-85.73
197,-85.69
199,-85.64
201,-85.67
203,-85.68
205,-85.69
207,-85.68
209,-85.63
211,-85.67
213,-85.71
215,-85.76
217,-85.86
219,-85.84
221,-85.82
223,-85.81
225,-85.75
227,-85.75
229,-85.76
231,-85.86
233,-85.89
235,-85.94
237,-85.96
239,-85.98
241,-85.96
243,-85.91
245,-85.86
247,-85.82
249,-85.82
251,-85.83
253,-85.86
255,-85.87
257,-85.88
259,-85.89
261,-85.94
263,-85.93
265,-85.95
267,-85.98
269,-85.99
271,-86
273,-86
275,-85.96
277,-85.95
279,-85.92
281,-85.92
283,-85.89
285,-85.86
287,-85.79
289,-85.82
291,-85.82
293,-85.78
295,-85.82
297,-85.82
299,-85.78
301,-85.76
303,-85.76
305,-85.71
307,-85.67
309,-85.69
311,-85.78
313,-85.88
315,-85.82
317,-85.79
319,-85.67
321,-85.6
323,-85.62
325,-85.7
327,-85.75
329,-85.76
331,-85.61
333,-85.5
335,-85.49
337,-85.53
339,-85.66
341,-85.7
343,-85.62
345,-85.52
347,-85.53
349,-85.51
351,-85.57
353,-85.53
355,-85.49
357,-85.47
359,-85.47
361,-85.87
,
Frequency  (MHz),5500
Point Values,
Ant. Port Input Pwr. (dBm),0
Tot. Rad. Pwr. (dBm),-85.7923
Peak EIRP (dBm),-85.4689
Directivity (dBi),0.323408
Efficiency (dB),-85.7923
Gain (dBi),-85.4689
Front/Back Ratio (dB),0.174164
Beamwidth (?,180
+ Beamwidth (?,90
- Beamwidth (?,90
Boresight Angle (?,359
Maximum Power (dBm),-85.4689
Minimum Power (dBm),-86.3593
Average Power (dBm),-85.7928
Max/Min Ratio (dB),0.890411
Max/Avg Ratio (dB),0.323829
Min/Avg Ratio (dB),-0.566582
Average Gain (dB),-85.7923
